date,open,high,low,close,volume
2024-07-05,201.21,201.625,199.88,200.87,17282455.0
2024-07-08,202.51,203.7,201.84,202.28,20823750.0
2024-07-09,201.92,202.52,200.53,201.4,17919120.0
2024-07-10,202.29,203.59,201.49,203.37,19286055.0
2024-07-11,207.9,211.225,206.94,210.68,65443645.0
2024-07-12,212.92,214.94,212.66,213.14,50810671.0
2024-07-15,214.79,218.24,214.3,217.19,48925277.0
2024-07-16,219.14,224.86,219.02,224.6,67945665.0
2024-07-17,222.36,226.64,221.66,222.25,66092050.0
2024-07-18,221.41,224.78,216.98,217.95,53179977.0
2024-07-19,217.63,218.65,215.85,216.84,37933460.0
2024-07-22,217.68,220.6499,215.38,220.29,36185946.0
2024-07-23,219.21,223.75,219.04,222.63,44884649.0
2024-07-24,221.07,223.86,217.715,217.85,42442980.0
2024-07-25,218.45,224.02,218.2,220.57,45053078.0
2024-07-26,223.9,225.39,221.7,224.22,40822646.0
2024-07-29,224.71,225.4172,220.77,221.73,33869689.0
2024-07-30,222.72,224.46,221.11,222.57,26876753.0
2024-07-31,223.71,228.63,221.98,223.86,52387681.0
2024-08-01,223.77,224.89,215.06,216.58,71508116.0
2024-08-02,208.85,211.19,206.99,208.92,66850204.0
2024-08-05,197.9,204.74,196.7,202.2,65683110.0
2024-08-06,203.01,207.25,201.2,204.4,37072537.0
2024-08-07,207.85,207.96,201.56,201.98,30594520.0
2024-08-08,204.42,207.0,203.17,206.89,26550311.0
2024-08-09,207.05,207.12,204.94,206.46,20954486.0
2024-08-12,206.61,206.98,203.82,204.6,20357893.0
2024-08-13,206.09,208.38,204.86,207.97,25458310.0
2024-08-14,208.63,208.75,205.74,206.68,25345557.0
2024-08-15,211.26,213.1,209.91,212.04,42561582.0
2024-08-16,211.37,213.98,211.28,212.6,30427401.0
2024-08-19,212.96,215.21,212.82,215.2,17246236.0
2024-08-20,214.89,214.95,212.05,212.69,21703874.0
2024-08-21,214.28,215.66,212.82,215.46,19623053.0
2024-08-22,215.57,216.37,213.13,213.56,18084250.0
2024-08-23,215.18,221.08,214.79,220.38,40003081.0
2024-08-26,221.93,222.45,220.08,220.45,24865547.0
2024-08-27,218.91,219.37,217.71,218.74,19577861.0
2024-08-28,217.87,219.115,216.27,217.26,19685018.0
2024-08-29,218.78,220.98,217.15,218.81,24599500.0
2024-08-30,219.71,220.5,217.4,220.08,23010461.0
2024-09-03,218.13,219.37,212.91,213.35,31338459.0
2024-09-04,212.76,215.37,211.7,212.99,23706257.0
2024-09-05,213.54,214.03,210.92,211.93,23910476.0
2024-09-06,211.93,213.19,207.14,207.9,34561311.0
2024-09-09,208.15,210.255,207.52,208.48,23584104.0
2024-09-10,208.72,208.86,205.791,208.31,23025689.0
2024-09-11,207.47,209.25,204.21,208.92,27175635.0
2024-09-12,209.91,212.78,208.41,211.61,27658533.0
2024-09-13,214.03,217.25,213.94,216.83,37388104.0
2024-09-16,217.63,218.285,216.14,217.61,23289005.0
2024-09-17,219.58,221.8,218.47,219.41,35563482.0
2024-09-18,219.23,224.94,218.25,219.45,54085216.0
2024-09-19,224.66,224.68,221.5,223.97,35369504.0
2024-09-20,223.45,223.46,221.29,221.57,34587474.0
2024-09-23,222.69,223.11,220.02,220.76,20157692.0
2024-09-24,221.63,221.93,219.5,221.13,20939810.0
2024-09-25,220.32,220.61,217.54,217.69,23242337.0
2024-09-26,220.49,221.13,218.38,218.85,24974650.0
2024-09-27,220.86,222.599,219.53,220.33,23959597.0
2024-09-30,219.42,221.59,218.58,220.89,21952206.0
2024-10-01,220.17,220.34,216.3,217.89,30015969.0
2024-10-02,216.99,218.75,216.21,217.59,14455444.0
2024-10-03,216.23,217.23,215.08,216.13,21353021.0
2024-10-04,219.29,219.98,217.29,219.15,27914834.0
2024-10-07,218.64,218.66,215.87,217.43,14891795.0
2024-10-08,217.63,218.37,216.7,217.58,18118575.0
2024-10-09,217.53,219.61,216.92,218.06,18230673.0
2024-10-10,215.9,216.88,214.6,216.85,24571442.0
2024-10-11,216.77,221.61,216.71,221.26,19950923.0
2024-10-14,221.45,223.11,220.4301,222.89,19263303.0
2024-10-15,222.57,225.5,221.98,223.07,25998753.0
2024-10-16,224.89,227.17,224.39,226.74,27656695.0
2024-10-17,226.91,226.96,224.91,226.12,18003629.0
2024-10-18,226.66,227.0299,225.39,225.65,20047352.0
2024-10-21,225.63,225.69,221.53,222.1,24243818.0
2024-10-22,221.47,221.83,220.3,221.26,15813923.0
2024-10-23,220.03,220.8,217.37,219.24,23263488.0
2024-10-24,220.43,221.04,218.525,219.72,18381921.0
2024-10-25,221.31,221.97,218.52,218.89,23807849.0
2024-10-28,220.79,222.97,220.48,222.46,19877718.0
2024-10-29,220.74,221.9,219.97,221.74,20282204.0
2024-10-30,221.07,224.48,220.9,221.44,19754849.0
2024-10-31,221.22,221.77,217.63,217.76,24078432.0
2024-11-01,219.5,220.97,218.34,218.98,21222177.0
2024-11-04,218.5,221.74,217.8401,220.09,20463671.0
2024-11-05,219.34,224.29,219.06,224.23,26404596.0
2024-11-06,236.59,237.58,232.75,237.22,75554567.0
2024-11-07,236.89,238.49,235.4,236.38,34970273.0
2024-11-08,235.93,238.465,235.65,238.12,26597830.0
2024-11-11,240.52,242.3899,239.85,241.7,29207686.0
2024-11-12,239.96,241.79,236.56,237.46,35314348.0
2024-11-13,238.95,239.88,234.833,235.11,25947674.0
2024-11-14,235.95,236.43,231.21,231.94,29272066.0
2024-11-15,232.22,232.29,227.81,228.48,37930047.0
2024-11-18,229.22,230.6,228.13,228.93,29398814.0
2024-11-19,226.59,230.82,226.4,230.63,26009367.0
2024-11-20,230.23,230.93,228.04,230.93,24222668.0
2024-11-21,232.16,235.57,231.11,234.44,28679385.0
2024-11-22,235.64,239.235,235.33,238.77,22693129.0
2024-11-25,241.49,244.98,241.39,242.4,33533998.0
2024-11-26,241.18,241.6068,239.429,240.62,22581359.0
2024-11-27,242.01,243.69,240.44,240.95,19472811.0
2024-11-29,242.37,243.475,241.54,241.87,16782715.0
2024-12-02,242.24,242.66,240.01,241.75,25274751.0
2024-12-03,241.54,242.14,239.37,240.03,21376746.0
2024-12-04,240.28,241.67,239.21,240.89,19903043.0
2024-12-05,240.52,240.86,237.735,238.08,20227006.0
2024-12-06,239.79,239.89,238.38,238.93,20760908.0
2024-12-09,240.55,241.38,237.65,237.73,16684336.0
2024-12-10,237.58,238.815,235.92,236.7,19946465.0
2024-12-11,238.71,239.285,236.83,237.77,23156933.0
2024-12-12,237.16,237.65,234.35,234.68,21454510.0
2024-12-13,234.37,234.86,231.88,233.07,23972916.0
2024-12-16,232.91,235.63,232.35,234.44,32293518.0
2024-12-17,232.67,233.44,230.55,231.07,33064333.0
2024-12-18,232.24,233.076,218.92,220.84,52267523.0
2024-12-19,223.25,224.43,219.3299,219.86,51871702.0
2024-12-20,218.6,224.655,218.07,221.92,53882241.0
2024-12-23,221.74,222.4,219.38,221.41,29606797.0
2024-12-24,222.02,223.63,220.48,223.39,13399595.0
2024-12-26,222.42,226.1407,221.465,225.68,20085707.0
2024-12-27,224.29,225.44,220.2,222.39,26956047.0
2024-12-30,220.67,221.81,217.85,220.68,25706127.0
2024-12-31,222.12,223.28,220.15,220.96,26208298.0
2025-01-02,222.93,224.37,219.596,221.14,29362959.0
2025-01-03,222.07,224.82,221.38,224.43,24525330.0
2025-01-06,225.76,227.17,224.14,224.52,23541877.0
2025-01-07,225.58,226.515,221.38,222.72,28835228.0
2025-01-08,220.9,222.31,219.0121,221.71,26795947.0
2025-01-10,218.31,218.71,215.31,216.83,37379430.0
2025-01-13,214.5,217.515,213.97,217.25,28603831.0
2025-01-14,219.18,220.225,217.22,219.72,25447518.0
2025-01-15,225.44,225.575,223.0,224.04,30124684.0
2025-01-16,224.15,225.23,222.71,224.49,21029804.0
2025-01-17,226.93,226.9692,224.67,225.46,26754914.0
2025-01-21,227.52,229.89,226.985,229.79,26086309.0
2025-01-22,229.35,229.85,227.83,228.29,21307329.0
2025-01-23,226.93,229.35,226.55,229.33,20850721.0
2025-01-24,228.82,230.23,228.04,228.69,19074526.0
2025-01-27,226.71,229.62,225.21,226.5,27461720.0
2025-01-28,226.74,227.56,225.18,226.75,16847369.0
2025-01-29,226.68,228.22,224.58,226.23,20280453.0
2025-01-30,228.52,230.05,226.92,228.53,25575054.0
2025-01-31,228.75,230.32,225.535,226.48,35348792.0
2025-02-03,221.51,225.55,220.67,223.83,34023345.0
2025-02-04,223.6,227.13,223.21,226.93,17985502.0
2025-02-05,228.06,229.5,226.8893,229.4,15197293.0
2025-02-06,230.51,230.7,227.3,228.65,18809380.0
